id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
7980,HR Manager,,ADF Shops is seeking a Human Resources Manager to be responsible for leading and directing the HR function on a country level that will provide an employee-oriented high performance culture that emphasizes empowerment quality productivity and standards goal attainment and the recruitment and ongoing development of a superior workforce.,,100.0,10,,1,1,,open,remote,,,,,
7981,Communication Service Center (CSC) Agent,,In this role the selected candidate will be responsible for helping our customers with their requests/ problems at a highest level.,,100.0,10,,1,1,,open,remote,,,,,
7982,Inspection Reform Expert,,The Inspection Reform Expert will assist the Inspection Reform Unit of the Ministry of Economy of the RA hereinafter the IRU and relevant inspections in establishing risk based inspection system in Armenia by assisting the IRU relevant inspections and other experts in I suggesting options with regard to more optimal cost efficient and effective inspection system in Armenia; II establishing risk based criteria for inspections; III developing inspection check lists. The work requires extensive consultation with legal specialists as well as intense negotiations with the Government and private sector stakeholders.,,100.0,10,,1,1,,open,remote,,,,,
7983,Legal Advisor,,The Legal Advisor will work directly with the Project Manager and IFC local and global experts in Investment Climate regulatory reform. She/ he will coordinate the legal reform work of other members of the Project team in 4 fields mentioned above. When delegated by the Project Manager she/ he will be responsible also for handling relationships with key Government clients in the 4 areas. In addition the Legal Advisor will be responsible for legal drafting of key documents in all 4 regulatory areas working with relevant technical experts for leading key negotiations.,,100.0,10,,1,1,,open,remote,,,,,
7984,Human Resources Senior Specialist,,"""Armenia"" International Airports CJSC is seeking a highly motivated and qualified individual to fulfill the position of Human Resources Senior Specialist. The HR Senior specialist will be responsible for developing and implementation of HR policies and procedures.",,100.0,10,,1,1,,open,remote,,,,,
7985,Chief Accountant,,"""Armenia Wine"" company is looking for a Chief Accountant. The incumbent will take responsibility for the all-accounting transactions and provide functional support to all financial and administrative operations. The Chief Accountant will report to the President of the company.",,100.0,10,,1,1,,open,remote,,,,,
7986,Accountant,,West Plast Group LLC is seeking an Accountant to be responsible for the company's accounting operations.,,100.0,10,,1,1,,open,remote,,,,,
7987,Babysitter/ Governess,,An Armenian family is looking for an accurate punctual and energetic person able to take care of 2 children girls of 2.3 and 6 years old. Working days/ hours: Monday  Friday: 17:00 - 21:00 Sunday: 09:00 - 19:00 Saturday: day off. The job is based in the city center.,,100.0,10,,1,1,,open,remote,,,,,
7988,Media Museum Manager,,Internews Media Support NGO invites applications from highly qualified energetic and experienced Armenian professionals for the position of Media Museum Manager for the Mobile Media Exhibition that will be organized within the framework of the Alternative Resources in Media ARM Program. Under the guidance of the Internews ARM Project Director the incumbent will be directly working on organizing a portable exhibit focused on the media related evolution in Armenia.,,100.0,10,,1,1,,open,remote,,,,,
7989,Project Manager,,SAS Group is seeking a Project Manager to be responsible for the overall direction coordination implementation execution control and completion of specific /construction/ projects ensuring consistency with company strategy commitments and goals.,,100.0,10,,1,1,,open,remote,,,,,
7990,Accountant,,Accountant will perform all the accounting operations of the company.,,100.0,10,,1,1,,open,remote,,,,,
7991,Brand Manager,,"""Raftam LLC"" is looking for a candidate to fulfill the position of a Brand Manager to plan develop and direct the marketing efforts for the brand.",,100.0,10,,1,1,,open,remote,,,,,
7992,External Relations Officer/ Chief Editor,,The incumbent will be responsible for the development and day to day implementation of the communications and external relations strategy. he will be responsible for enhancing a positive image of the Bank by facilitating and implementing media campaigns including but not limited to writing updating and disseminating fact sheets press releases articles and other informational materials as well as drafting speeches. The candidate will also be tasked to maintain effective communication with external stakeholders and counterparts in partner agencies.,,100.0,10,,1,1,,open,remote,,,,,
7993,Data Product Sales Officer,,He/she will be responsible for identifying customer needs preparing commercial offers selling b2b products etc.,,100.0,10,,1,1,,open,remote,,,,,
7994,Import Manager,,Generosa LLC is looking for a candidate for the position of Import Manager.,,100.0,10,,1,1,,open,remote,,,,,
7995,"Asset Management, Senior Analyst (Associate)",,"""Ameria Invest"" CJSC seeks to equip its clients with the skills and insights they need to help them make informed decisions. It provides materials and training on topics ranging from the basics of investing through to consideration of timely market and regulatory issues. Working in the Asset Management team the position holder will be helping clients solve some of their most critical financial and strategic challenges. ""Ameria Invest"" is looking for visionary aggressive open minded and dynamic team players who will pump the Asset Management colleagues with drive and endless enthusiasm commitment to the corporate values and will mentor junior team members to thrive in a dynamic environment where multitasking time management and stamina are essential. The incumbent should be comfortable structuring covariance matrices for multi-asset base; building multi-asset portfolios based on clients investment policy statements IPS solving risk optimization tasks working with numbers crunching valuation models and be an analytical thinker. Outstanding communication and interpersonal skills are needed in order to work successfully with clients and team members.",,100.0,10,,1,1,,open,remote,,,,,
7996,"Asset Management, Portfolio Manager (Director)",,"""Ameria Invest"" CJSC seeks to equip its clients with the skills and insights they need to help them make informed decisions. It provides materials and training on topics ranging from the basics of investing through to consideration of timely market and regulatory issues. Working in the Asset Management team the position holder will be helping clients solve some of their most critical financial and strategic challenges. ""Ameria Invest"" is looking for visionary aggressive open minded and dynamic team players who will pump the Asset Management colleagues with drive and endless enthusiasm commitment to the corporate values and will mentor junior team members to thrive in a dynamic environment where multitasking time management and stamina are essential. The incumbent should be comfortable structuring covariance matrices for multi-asset base; building multi-asset portfolios based on clients investment policy statements IPS solving risk optimization tasks working with numbers crunching valuation models and be an analytical thinker. Outstanding communication and interpersonal skills are needed in order to work successfully with clients and team members.",,100.0,10,,1,1,,open,remote,,,,,
7997,Deputy Financial Director,,SAS Group is seeking a Deputy Financial Director to manage financial resources and conduct resource planning for future needs to work upon tasks such as strategic planning for the ongoing year and also perform analytical work.,,100.0,10,,1,1,,open,remote,,,,,
7998,Senior Internal Control Office /Compliance Officer/,,SAS Group is seeking a Senior Internal Control Office /Compliance Officer/ to develop the policies that makes up the controls and then work with department heads to ensure enforcement of the policies.,,100.0,10,,1,1,,open,remote,,,,,
7999,Assistant for the Resident Twinning Adviser,,A vacancy for a position as Assistant for the Resident Twinning Adviser for a Twinning Project related to Enforcement of Intellectual Property Rights in the Republic of Armenia is hereby announced. The position holder will provide administrative support to the Resident Twinning Advisor RTA during the implementation of the Twinning project.,,100.0,10,,1,1,,open,remote,,,,,
8000,Fruit Armenia (FA) Value Chain Manager,,The FA Value Chain Manager VCM will be directly responsible to the FA Executive Director. During the start-up of FA the VCM with support from the FA orchard agronomists will support the FA Executive Director to establish a orchards prepare technical manuals and procedures for managing orchards including pre- and-post harvest produce handling.,,100.0,10,,1,1,,open,remote,,,,,
8001,Fruit Armenia (FA) Nursery Manager,,The FA Nursery Manager NM will be directly responsible to the FA Executive Director. During the start-up of FA the NM with support from the FA nursery agronomists and tissue-laboratory technicians will support the FA Executive Director to establish a nursery prepare technical manuals and procedures for managing nursery and the FA tissue laboratory.,,100.0,10,,1,1,,open,remote,,,,,
8002,Fruit Armenia (FA) Financial Manager,,The Financial Manager FM will be directly responsible to the Executive Director. During the start-up phase of FA the FM with support from the FA Accountant will participate in developing the FA Financial Management Manual and procedures as well as establish a financial system for the office including routines and systems for internal financial control and budgeting procedures systems for accounting and payroll and control systems to prevent financial irregularities.,,100.0,10,,1,1,,open,remote,,,,,
8003,Debtor Manager,,Cascade Insurance ICJSC is looking for a motivated self-driven highly professional candidate for the position of Debtor Manager. The successful incumbent will be responsible for overall accounting of the company; he/she will carry out several debtoral functions and other duties as assigned. The Debtor Manager will report to the Chief Accountant of the company. The candidate should be well organized and hard working person able to work in a western-style office environment towards the achievement of team goals.,,100.0,10,,1,1,,open,remote,,,,,
8004,Debt Collection Officer,,The Debt Collection Officer is intended to arrange debt collection/delinquent loans recovery at all stages of delinquency before and after court application in accordance with set policies and procedures in close collaboration with the law enforcement agency for the collection of the company's debts.,,100.0,10,,1,1,,open,remote,,,,,
8005,Administrative Assistant/ Interpreter,,UNESCO Chair - Life Sciences International Postgraduate Educational Center is currently looking for a highly-motivated Administrative Assistant/ Interpreter. Under the overall guidance of the International Team Leader and direct supervision of the International Adviser the Administrative Assistant/ Interpreter will provide interpretation and administrative services ensuring high quality of work accuracy and consistency of service delivery.  The Administrative Assistant/ Interpreter will promote a collaborative client-focused quality and result-oriented approach in the delivery of all administrative services.,,100.0,10,,1,1,,open,remote,,,,,
8006,Merchandiser,,The position is in charge for all the mentioned territories near Yerevan: Abovyan Echmiadzin Massis Armavir Vedi Ararat Hrazdan Sevan etc.,,100.0,10,,1,1,,open,remote,,,,,
8007,Chief Financial Officer (CFO),,Sharm Holding LLC is looking for a Chief Financial Officer.,,100.0,10,,1,1,,open,remote,,,,,
8008,IT Manager,,SAS Group is seeking an IT Manager to manage the IT function on a day-to-day operational basis.,,100.0,10,,1,1,,open,remote,,,,,
8009,Senior C++ Engineer,,The Senior C++ Engineer will participate in the development of a multiplatform Client application.,,100.0,10,,1,1,,open,remote,,,,,
8010,Reporting Analyst,,Reporting Analyst is reporting to Business Intelligence and Reporting Group Lead and is responsible for reporting and analytics tasks. The incumbent will examine and evaluate purpose and content of business reports to develop new or improve existing format use and control. Reporting Analyst should also review reports to determine basic characteristics such as origin and report flow format frequency distribution and purpose or function of report.,,100.0,10,,1,1,,open,remote,,,,,
8011,Senior Graphic Designer,,Senior Graphic Designer will work in close collaboration with Marketing and Designer teams and will continually advance creatively and technically. Design assignments may include: developing creative for major campaigns designing micro sites landing pages HTML emails and flash banner ads newspaper and magazine ads brochures and posters.,,100.0,10,,1,1,,open,remote,,,,,
8012,Team Lead - Web Application Development and Design,,The Team Lead is responsible for design and development highly performing and scalable web applications that meet the business requirements. This person will be a key member of QTG Web Application Development and Design team and will play a major role in the development life-cycle including requirements gathering design development and documentation.,,100.0,10,,1,1,,open,remote,,,,,
8013,"Intermediate QA Analyst, Functional Testing",,The QA Analyst will provide expertise in the area of Manual QA activities for applications developed by the E-Business department with particular focus on the trading platform web components and high volume data flow and transactions.,,100.0,10,,1,1,,open,remote,,,,,
8014,"Senior Software Engineer, Deep Submicron Department",,Senior Software Engineer will take a leading role in design and implementation of advanced software products for physical layout of ICs.,,100.0,10,,1,1,,open,remote,,,,,
8015,HR Assistant,,AtTask has an opening for a Human Resource Assistant in Yerevan Office. The position will primarily have responsibility for high-level administrative support that includes basic HR duties such as recruitment and staffing personal records on- boarding basic bookkeeping/finance duties such as preparing reports presentations and correspondence.,,100.0,10,,1,1,,open,remote,,,,,
8016,Marketing Specialist,,Cascade Insurance ICJSC is looking for a motivated self-driven highly professional candidate for the position of Marketing Specialist. The successful incumbent will be responsible for overall marketing design and implementation of the company. The Marketing Specialist will report to the Head of Marketing Unit of the company. The candidate should be well organized and hard working person able to work in a western-style office environment towards the achievement of team goals.,,100.0,10,,1,1,,open,remote,,,,,
8017,"Software Engineer, Deep Submicron Department",,Software Engineer will take part in design and implementation of advanced software products for physical layout of ICs.,,100.0,10,,1,1,,open,remote,,,,,
8018,Native Persian Speaking Manager,,Manager with excellent knowledge of Persian language will manage the Company's external economic activities ensuring the implementation of the issues and targets of the Company supervising all the functions of the structural departments. There's a possibility of business trips to Iran.,,100.0,10,,1,1,,open,remote,,,,,
8019,Graphic Designer,,"""""Armenia"" International Airports"" CJSC is seeking a creative person for covering the position of Graphic Designer.",,100.0,10,,1,1,,open,remote,,,,,
8020,Admin/HR Assistant GS-6,,Purpose of the Post:  Under the general supervision of the Operations Manager the incumbent performs administrative and HR support functions which includes supervision of drivers and outsourced ancillary staff including receptionist.,,100.0,10,,1,1,,open,remote,,,,,
8021,Laboratory Representative/ Invitro Specialist,,Laboratory Representative will be responsible for creating the awareness of Ecosense LLC products among Medical Specialists and general population.,,100.0,10,,1,1,,open,remote,,,,,
8022,Store Manager,,The incumbent will ensure provision of excellent customer service and retail sale.,,100.0,10,,1,1,,open,remote,,,,,
8023,Representative,,"""Intermed"" LLC is looking for enthusiastic self-motivated candidates who combine excellent interpersonal and organization skills. The job is fast-paced and requires a high level of energy and enthusiasm. She/he will pay regular visits to doctors in hospitals clinics and pharmacies will promote the companys products and organize local medical meetings.",,100.0,10,,1,1,,open,remote,,,,,
8024,Senior Technical Advisor on Strategic Community Development,,Counterpart International Inc. - Armenia is soliciting applications from qualified candidates for the position of Strategic Community Development Senior Technical Advisor for its USAID-funded Civil Society and Local Government Program CS/LGP. Strategic Community Development Technical Advisor is responsible for the oversight of community development strategy and implementation of Counterparts Civil Society and Local Government Support CS/LGS project. he will also supervise grant selection and programmatic monitoring processes. The Senior Technical Advisor will report directly to the Community Development Program Manager and will work in close cooperation with technical advisors across the programs. The position location is Yerevan with up to 40% in-country travel.,,100.0,10,,1,1,,open,remote,,,,,
8025,Internet & Multimedia Engineer,,He/she will be responsible for implementation and support of Orange Armenia Internet/Multimedia products.,,100.0,10,,1,1,,open,remote,,,,,
8026,IT System Support Engineer,,He/she will be responsible for coordination/ management of job activities.,,100.0,10,,1,1,,open,remote,,,,,
8027,Medical Representative in Yerevan,,The Medical Representative will be responsible for creating the awareness of GMPharmaceuticals products among doctors pharmacists and general population.,,100.0,10,,1,1,,open,remote,,,,,
8028,Credit Officer,,The Credit Officer will be responsible for all procedures concerning credit activities.,,100.0,10,,1,1,,open,remote,,,,,
8029,Fundraising Specialist,,Habitat for Humanity Armenia HFHA is seeking an energetic Fundraising Specialist to be responsible for resource raising and development activities in HFHA office.,,100.0,10,,1,1,,open,remote,,,,,
8030,Food Safety Specialist,,Under the direct supervision of the Food Safety Department Manager the incumbent will be responsible for Building Capacity for private and public sector Food Safety stakeholders in Armenia.,,100.0,10,,1,1,,open,remote,,,,,
8031,UNIX System Administrator,,The UNIX System Administrator is responsible for installation configuration and further administration of UNIX systems development of documentation about servers backup/ restore of servers installing and configuring additional software.,,100.0,10,,1,1,,open,remote,,,,,
8032,Credit Risk Specialist,,Converse Bank is looking for a proactive and dynamic person to cover the position of Credit Risk Specialist.,,100.0,10,,1,1,,open,remote,,,,,
8033,1C Software Operator,,Generosa LLC is seeking a highly qualified specialist to fulfill the position of 1C Software Operator in a distribution chain.,,100.0,10,,1,1,,open,remote,,,,,
8034,Assistant in Accounting Department,,Under the direct supervision of the company President and in association with the contracted accounting company the selected candidate will perform routine accounting as well as some administrative duties.,,100.0,10,,1,1,,open,remote,,,,,
8035,Receptionist/ Administrative Assistant,,The incumbent will work under the direct supervision of the company President and be primarily responsible for covering the front desk.,,100.0,10,,1,1,,open,remote,,,,,
8036,Head of Loan Department,,The incumbent will be responsible for coordination supervision and management of Loan Department operations.,,100.0,10,,1,1,,open,remote,,,,,
8037,Internal Control Specialist,,FINCA UCO CJSC is looking for an Internal Control Specialist. The job is based in Yerevan with travel to the regions.,,100.0,10,,1,1,,open,remote,,,,,
8038,Audit Consultant,,AN Audit is looking for successful candidates to fill a position of Audit Consultant. The Audit Consultant will participate in audit engagements and will be responsible for performing audit tasks assigned by senior team members.,,100.0,10,,1,1,,open,remote,,,,,
8039,Credit Officer,,The Credit Officer will be responsible for all procedures concerning credit activities.,,100.0,10,,1,1,,open,remote,,,,,
8040,Tender Specialist,,"""Ucom"" LLC is seeking a successful candidate who will fulfill the position of Tender Specialist.",,100.0,10,,1,1,,open,remote,,,,,
8041,Civil Society Program Officer,,The Civil Society Program Officer is a professional position with Civil Society division of Counterpart International Armenia. The Program Officer provides general programmatic support to grassroots and legislative advocacy volunteerism and mobilization youth and leadership and other civil society programming areas of Counterpart Armenia. The Civil Society Program Officer will report to the Civil Society Programs Director and will work in close cooperation with the civil society program team and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8042,Civil Society Program Officer,,The Civil Society Program Officer is a professional position with Civil Society division of Counterpart International Armenia. The Program Officer provides general programmatic support to grassroots and legislative advocacy volunteerism and mobilization youth and leadership and other civil society programming areas of Counterpart Armenia. The Civil Society Program Officer will report to the Civil Society Programs Director and will work in close cooperation with the civil society program team and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8043,PHP/ Drupal Developer,,The ideal candidate will be responsible for designing executing assessing and troubleshooting web applications. He/ she will also contribute in the estimates of the web projects the quality and timeliness of the deliverables and the projects compliance to the organizational processes and standards.,,100.0,10,,1,1,,open,remote,,,,,
8044,Operations Manager,,Aldo is seeking an Operations Manager who will act as Retail Expert within the realms of driving business and business coaching.,,100.0,10,,1,1,,open,remote,,,,,
8045,Civil Society Program Officer,,The Civil Society Program Officer is a professional position with Civil Society division of Counterpart International Armenia. The Program Officer provides general programmatic support to grassroots and legislative advocacy volunteerism and mobilization youth and leadership and other civil society programming areas of Counterpart Armenia. The Civil Society Program Officer will report to the Civil Society Programs Director and will work in close cooperation with the civil society program team and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8046,Chemist/ Analyst,,He/ she will conduct blood sample analysis to detect pharmaceutical agents.,,100.0,10,,1,1,,open,remote,,,,,
8047,C/C++ Software Developer,,Energize Global Services CJSC is looking for a C/C++ Software Developer to be engaged in different long term projects.,,100.0,10,,1,1,,open,remote,,,,,
8048,Software QA Engineer,,Energize Global Services CJSC is looking for a Software QA Engineers who will be responsible for the quality testing of applications developed payment terminals. Software QA Engineers are responsible for the analysis of software specifications developing test plans the testing itself white and black box testing etc. Software QA Engineers will develop test tools and simulators and will take care of the automation of the testing. Furthermore the Software QA Engineers will supervise the product documentation quality.,,100.0,10,,1,1,,open,remote,,,,,
8049,Database Administrator,,The Database Administrator is responsible for managing and maintaining database servers and applications. The Database Administrator is also responsible for the performance integrity and security of a database.,,100.0,10,,1,1,,open,remote,,,,,
8050,Local Proposal Writing Expert,,The incumbent will assist the Republic of Armenia Country Coordinating Mechanism CCM and Global Fund Principal Recipient Implementation Unit at Mission East Armenia NGO PR in developing Request for Continued Funding for the Rolling Continuation Channel RCC Phase 2 through the input from CCM Sub-Recipient SR local NGOs and other program stakeholders and through presenting a revised program implementation strategy that takes account of changes in the country and context of the epidemic as well as lessons learned.,,100.0,10,,1,1,,open,remote,,,,,
8051,C/C++ Software Developer,,Energize Global Services CJSC is looking for a C/C++ Software Developer to be engaged in different long term projects.,,100.0,10,,1,1,,open,remote,,,,,
8052,Recruitment Manager,,SAS Group is seeking a Recruitment Manager to oversee the recruiting and human resource functions.,,100.0,10,,1,1,,open,remote,,,,,
8053,Marketing Specialist in Fashion Sphere,,MaryEl LLC is seeking a Marketing Specialist in Fashion sphere to analyze and assist the stock selection procedure.,,100.0,10,,1,1,,open,remote,,,,,
8054,Financial Analyst,,Jermuk International LLC Pepsi Cola Bottler Armenia is seeking a Financial Analyst to provide timely and relevant information with analysis on a consistent and predictable basis that drives Company decision-making and attainment of goals. The incumbent will be responsible for contributing to the Companys success by being focused on implementing corporate finance processes as well as providing support in financial analysis of corporate and departmental level projects and processes such as budgeting forecasting business case development and corporate finance transactions. The Financial Analyst will report to CFO.,,100.0,10,,1,1,,open,remote,,,,,
8055,Deputy Chief Accountant,,Jermuk International Pepsi Cola Bottler Armenia is seeking a Deputy Chief Accountant.,,100.0,10,,1,1,,open,remote,,,,,
8056,PHP Web Application Developer,,Iguan Systems is looking for an experienced PHP Developer to join its team.,,100.0,10,,1,1,,open,remote,,,,,
8057,Junior Technical Support Specialist,,Synergy Armenia is looking for a Junior Technical Support specialist who will provide technical support to the company clients regarding the software applications developed for them.,,100.0,10,,1,1,,open,remote,,,,,
8058,Senior Finance and Treasury Assistant,,The OSCE Office in Yerevan invites applications from highly qualified energetic and experienced Armenian professionals for the post of Senior Finance and Treasury Assistant at the Fund Administration Unit.,,100.0,10,,1,1,,open,remote,,,,,
8059,Chief Accountant,,The incumbent will be responsible for organizing book-keeping and accounting of economic and financial activities and control of cost-effective use of material labor and financial resources safe keeping of the companys property. He/ she will also be responsible for taking part in resolving problem situations; should it be beyond his/ her competence to submit a number of resolution to the management.,,100.0,10,,1,1,,open,remote,,,,,
8060,Project Manager,,National Instruments is seeking an experienced Project Manager. The role of the Project Manager is to plan execute and finalize projects according to strict deadlines and within budget. This includes acquiring resources and coordinating the efforts of team members and third-party contractors or consultants in order to deliver projects according to plan. The Project Manager will also oversee quality control throughout its life cycle.,,100.0,10,,1,1,,open,remote,,,,,
8061,Project Manager,,SAS Group is seeking a Project Manager to be responsible for the overall direction coordination implementation execution control and completion of specific projects ensuring consistency with company strategy commitments and goals.,,100.0,10,,1,1,,open,remote,,,,,
8062,Senior Web Developer,,The ideal candidate for this position is experienced in designing and developing highly performing and scalable web applications that meet the business requirements. The Senior Web Developer will be involved in small to large scale projects through all stages of the software development life cycle from requirements gathering to implementation. The Senior Web Developer will collaborate with User Interaction and Design team Marketing .NET developers and Database architects to design and develop functionally rich robust user friendly web applications as defined by business requirements.,,100.0,10,,1,1,,open,remote,,,,,
8063,Translator,,The incumbent will be responsible for the translation of letters documents reports etc. from Russian into Armenian and vice versa.,,100.0,10,,1,1,,open,remote,,,,,
8064,Head of Marketing Department,,The incumbent will direct firms overall marketing and strategic planning programs and corporate communications. He/she will facilitate client development through marketing and client services programs.,,100.0,10,,1,1,,open,remote,,,,,
8065,Medical Representative in Gyumri,,The Medical Representative will be responsible for creating the awareness of GMPharmaceuticals products among doctors pharmacists and general population in Gyumri.,,100.0,10,,1,1,,open,remote,,,,,
8066,Administrative/ Finance Associate,,Under the guidance and supervision of the Head of Office and direct supervisor as a member of the CO management services team the Administrative/ Finance Associate delivers quality services in HR administration and finance to internal and external clients mastering all relevant rules guidelines processes and procedures. He/ she will take a client-oriented results-focused approach to interpreting the rules procedures and guidelines in service of the country program providing support and guidance to the Country Office and UNFPA-supported projects.,,100.0,10,,1,1,,open,remote,,,,,
8067,Administrator of the Information Networks and Active Directory,,Prometey Bank needs an Administrator of the Information Networks and Active Directory for the work in the head office.,,100.0,10,,1,1,,open,remote,,,,,
8068,Technical Specialist/ Team Leader for Quality Improvement,,Abt Associates is seeking a Technical Specialist/ Team Leader for Quality Improvement for a USAID-funded project in Armenia that aims to strengthen the Armenian health system and improve the quality of health services with a particular focus on NCD/ prevention maternal and child health reproductive health/ family planning emergency care and tuberculosis services. The Technical Specialist/ Team Leader for Quality Improvement will provide leadership management strategic direction and technical assistance to improve the quality of clinical services in Armenia.,,100.0,10,,1,1,,open,remote,,,,,
8069,Assistant/ Translator-Interpreter,,He/she will be responsible for translations to be carried out for the EU Affairs department of the Ministry of Economy. In addition he/ she will support the Programme Administration Office in other activities e.g. for interpretation.,,100.0,10,,1,1,,open,remote,,,,,
8070,Sales Manager/ Preseller,,- Conduct marketing merchandising and pre-selling; - Regularly visit sales points of products; - Represent products to the customers.,,100.0,10,,1,1,,open,remote,,,,,
8071,Consultant/ Decorator,,The incumbent will work in the interior salon as a Consultant/ Decorator. The position will have responsibility for high quality customer service support that includes basic consultant duties such as advising clients about all the furniture brands.,,100.0,10,,1,1,,open,remote,,,,,
8072,Policy and Government Engagement Specialist,,Counterpart International-Armenia is soliciting applications from qualified candidates for the position of Policy and Government Engagement Specialist for its USAID-funded civil society and governance sector program. The Policy and Government Engagement Specialist is responsible for the overall coordination of activities related to public policy making and public engagement and contribution in policy making processes. The role of the Policy and Government Engagement Specialist is to follow the National and local level policy making strategy closely facilitating participation and community engagement in the policy making processes by building the policy research and analysis capacity of local CSOs. The Policy and Government Engagement Specialist will report to the Civil Society Program Director and will work in close cooperation with the executive team and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8073,Call Center Specialist,,Ingo Armenia Insurance Company gives a chance to proactive motivated and initiative individuals to work as a Call Center Specialist in its team. Call Center Specialist is responsible for providing the utmost professionalism and exceptional customer service over the phone.,,100.0,10,,1,1,,open,remote,,,,,
8074,Community Development Program Coordinator,,Counterpart International Inc. Armenian Representation is soliciting applications from qualified candidates for the position of Community Development Program Coordinator for its USAID-funded Civil Society and Local Government Program CS/ LGP. The Community Development Program Coordinator is responsible for assisting and documenting the community development activities in selected communities in the framework of the project. She/ he will also provide programmatic support and assistance to other community development staff in implementing community development activities. The Community Development Program Coordinator will report directly to the Senior Technical Advisor on Strategic Community Development will work in close cooperation with the other program officers and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8075,Advocacy and Transparency Specialist,,The Advocacy and Transparency Specialist is responsible for the overall coordination of all advocacy and civic engagement related activities. The role of the Advocacy and Transparency Specialist is to support the oversight function of civil society watchdog organizations supporting the organization and implementation of advocacy campaigns and building the advocacy capacity of local CSOs. The Advocacy and Transparency Specialist will report to the Civil Society Program Director and will work in close cooperation with the program management team and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8076,Trainee with the EU Advisory Group to the Republic of Armenia,,The European Union Advisory Group to the Republic of Armenia EUAG is offering a traineeship for young Armenian citizens who have recently graduated from university to work with individual Advisors of the EUAG and/ or Ministries/ Agencies. Possible areas of work include: technical barriers to trade; sanitary and phyto-sanitary regulations and others.,,100.0,10,,1,1,,open,remote,,,,,
8077,Senior Quality Engineer,,The incumbent will be responsible for Quality Assurance of Web based FLEX application.,,100.0,10,,1,1,,open,remote,,,,,
8078,Speaking Examiner for Young Learners Exams,,The incumbent will carry out speaking examining duties to the Cambridge ESOL corporate standards.,,100.0,10,,1,1,,open,remote,,,,,
8079,Administrator of the Information Networks and Active Directory,,Prometey Bank needs an Administrator of the Information Networks and Active Directory for the work in the head office.,,100.0,10,,1,1,,open,remote,,,,,
8080,Trainee with the EU Advisory Group to the Republic of Armenia,,The European Union Advisory Group to the Republic of Armenia EUAG is offering a traineeship for young Armenian citizens who have recently graduated from university to work with individual Advisors of the EUAG and/ or Ministries/ Agencies. Possible areas of work include: parliamentary proceedings; preparations for implementation of trade negotiations; customs issues; technical barriers to trade; sanitary and phyto-sanitary regulations; intellectual property rights; public administration reform including anticorruption policy and measures; public awareness campaigns; and others.,,100.0,10,,1,1,,open,remote,,,,,
8081,Trainee with the EU Advisory Group to the Republic of Armenia,,The European Union Advisory Group to the Republic of Armenia EUAG is offering a traineeship for young Armenian citizens who have recently graduated from university to work with individual Advisors of the EUAG and/ or Ministries/ Agencies. Possible areas of work include: preparations for implementation of trade negotiations; technical barriers to trade; sanitary and phyto-sanitary regulations; intellectual property rights and others.,,100.0,10,,1,1,,open,remote,,,,,
8082,Policy and Government Engagement Specialist,,Counterpart International-Armenia is soliciting applications from qualified candidates for the position of Policy and Government Engagement Specialist for its USAID-funded civil society and governance sector program. The Policy and Government Engagement Specialist is responsible for the overall coordination of activities related to public policy making and public engagement and contribution in policy making processes. The role of the Policy and Government Engagement Specialist is to follow the National and local level policy making strategy closely facilitating participation and community engagement in the policy making processes by building the policy research and analysis capacity of local CSOs. The Policy and Government Engagement Specialist will report to the Civil Society Program Director and will work in close cooperation with the executive team and all staff.,,100.0,10,,1,1,,open,remote,,,,,
8083,Product Specialist,,The incumbent will be responsible for the company product and local market analysis creating developing and maintaining of database system to gather data identification of the company product demand in local market.,,100.0,10,,1,1,,open,remote,,,,,
8084,Trainee with the EU Advisory Group to the Republic of Armenia,,The European Union Advisory Group to the Republic of Armenia EUAG is offering a traineeship for young Armenian citizens who have recently graduated from university to work with individual Advisors of the EUAG and/ or Ministries/ Agencies. Possible areas of work include: parliamentary proceedings; human rights activities related to justice freedom and security i.e. immigration border management combating organized crime and legal approximation; preparations for implementation of trade negotiations; customs issues; technical barriers to trade; public awareness campaigns and others.,,100.0,10,,1,1,,open,remote,,,,,
8085,IT Specialist,,He/she will be responsible for IT/software matters within the SATTO project team.,,100.0,10,,1,1,,open,remote,,,,,
8086,Methodology and Quality Management Specialist,,The incumbent will be responsible for bank business processes and services quality management and development.,,100.0,10,,1,1,,open,remote,,,,,
8087,Sales Development Specialist,,The incumbent will be responsible for communication contest programs to Sales Force SF support those in understanding and implementing contest programs providing SF with appropriate feedback analysis of the contest programs results and effectiveness for SF.,,100.0,10,,1,1,,open,remote,,,,,
8088,Brand Representative,,The Brand Representative will be responsible for making contracts with new customers presenting company and Sano products to them.,,100.0,10,,1,1,,open,remote,,,,,
8089,Chief Accountant,,Akvatechavtomatika CJSC is looking for a Chief Accountant.,,100.0,10,,1,1,,open,remote,,,,,
